date,open,high,low,close,volume
2025-05-21,168.65,176.0,165.61,173.61,1523110.40498726
2025-05-22,173.65,180.85,172.63,179.72,1282479.10815429
2025-05-23,179.73,187.73,173.27,174.03,1898136.46429658
2025-05-24,174.02,178.37,172.66,175.96,587813.98966338
2025-05-25,175.96,176.96,169.2,175.8,776842.78268605
2025-05-26,175.81,179.12,173.55,174.97,686840.93530938
2025-05-27,174.99,179.5,171.29,176.8,949244.50343878
2025-05-28,176.77,177.5,168.99,172.28,835092.53457799
2025-05-29,172.27,175.43,165.96,166.71,930086.52878178
2025-05-30,166.7,167.5,155.27,156.28,1080045.07151882
2025-05-31,156.3,158.1,152.2,156.53,698023.79201713
2025-06-01,156.55,158.01,150.65,157.76,634611.06502346
2025-06-02,157.78,159.0,151.71,156.9,890635.29723299
2025-06-03,156.91,163.76,154.23,155.29,748857.55864726
2025-06-04,155.31,158.04,153.0,153.33,518471.92507659
2025-06-05,153.31,154.69,141.53,144.36,1098509.44088031
2025-06-06,144.38,152.5,144.19,147.96,627391.48228429
2025-06-07,147.96,152.93,146.92,150.15,377977.34334998
2025-06-08,150.13,155.35,148.0,152.53,328887.26046446
2025-06-09,152.54,161.8,149.68,161.24,587020.8587113
2025-06-10,161.22,165.71,156.35,165.15,939178.47029043
2025-06-11,165.13,168.38,159.25,161.01,1372908.66534847
2025-06-12,161.01,161.35,152.08,152.39,830479.94536024
2025-06-13,152.39,152.67,140.89,148.66,1614868.07072184
2025-06-14,148.68,148.76,142.03,144.72,492670.34094524
2025-06-15,144.71,153.58,144.29,152.99,659481.08672004
2025-06-16,153.0,158.82,150.37,150.77,1030039.00736272
2025-06-17,150.78,154.38,145.6,147.61,856106.24210485
2025-06-18,147.61,149.32,143.69,146.41,728174.06616315
2025-06-19,146.4,147.96,142.98,147.04,463646.02228411
2025-06-20,147.08,148.83,135.72,140.15,913323.23395022
2025-06-21,140.14,142.63,131.0,135.46,699804.89098859
2025-06-22,135.48,137.69,126.03,131.76,1196446.33024318
2025-06-23,131.76,147.03,130.72,144.59,1187134.02580865
2025-06-24,144.62,146.9,142.4,145.98,914472.51832545
2025-06-25,145.97,148.02,142.35,143.65,782039.74323333
2025-06-26,143.65,148.06,138.7,139.14,665287.8354771
2025-06-27,139.14,144.91,137.21,142.17,599898.72438905
2025-06-28,142.18,152.73,141.2,150.81,632571.6244275
2025-06-29,150.82,154.8,149.44,153.34,499692.12798618
2025-06-30,153.34,163.9,149.48,154.88,1207489.82882793
2025-07-01,154.88,155.69,144.86,146.92,708580.37145756
2025-07-02,146.91,154.53,145.86,152.32,679979.56676923
2025-07-03,152.35,156.42,149.95,152.39,709554.49072962
2025-07-04,152.39,153.92,145.25,147.74,432352.2786482
2025-07-05,147.74,148.71,145.95,147.61,224960.25712601
2025-07-06,147.61,153.9,146.82,151.9,388158.44202257
2025-07-07,151.9,153.61,147.7,148.9,764412.29624279
2025-07-08,148.9,152.89,147.84,151.72,490053.88969338
2025-07-09,151.72,157.99,150.57,157.11,926694.50570369
2025-07-10,157.11,165.4,155.71,164.35,847878.84071269
2025-07-11,164.35,168.23,159.63,162.97,1141810.54465385
2025-07-12,162.96,163.98,157.77,160.76,469402.12713301
2025-07-13,160.76,164.23,159.7,161.22,533095.82849429
2025-07-14,161.22,168.69,160.69,162.25,1026920.17972523
2025-07-15,162.26,164.29,157.13,164.03,801676.48860194
2025-07-16,164.01,176.1,161.53,173.71,1796912.14296986
2025-07-17,173.71,178.23,168.8,175.99,1258544.12821487
2025-07-18,175.99,184.79,173.3,177.34,1775828.85334452
2025-07-19,177.35,178.74,174.09,177.04,1127757.09443359
2025-07-20,177.05,183.72,176.4,181.52,1257378.40027461
2025-07-21,181.54,199.48,178.36,195.83,2384494.51580579
2025-07-22,195.83,206.42,193.82,205.8,2443481.34728866
2025-07-23,205.8,205.88,184.06,189.49,1641105.21441823
2025-07-24,189.5,192.06,179.29,182.96,1529998.30109404
2025-07-25,182.97,186.99,175.73,186.81,1877813.62899416
2025-07-26,186.8,189.8,184.37,184.94,510226.46891446
2025-07-27,184.92,190.76,184.57,188.71,577361.938791
2025-07-28,188.72,195.37,182.2,183.13,1190963.25586955
2025-07-29,183.1,186.7,178.19,181.46,784932.67806052
2025-07-30,181.45,182.53,170.38,177.76,795144.6742063
2025-07-31,177.76,182.69,171.41,172.19,687456.82052464
2025-08-01,172.18,172.26,159.11,162.66,1398031.9919061
2025-08-02,162.64,165.21,155.75,158.46,559266.30502545
2025-08-03,158.46,163.14,156.27,162.02,428119.72429395
2025-08-04,162.02,169.84,161.29,169.57,810560.23295468
2025-08-05,169.59,171.7,161.26,164.07,617664.83360047
2025-08-06,164.07,169.99,161.15,168.14,581884.58028898
2025-08-07,168.15,175.55,166.68,175.41,706847.98083191
2025-08-08,175.41,179.69,173.47,176.84,853687.22290537
2025-08-09,176.82,183.46,176.62,179.96,755123.32068652
2025-08-10,179.96,186.18,177.49,182.7,833439.0950993
2025-08-11,182.71,186.78,173.42,174.89,867850.83872964
2025-08-12,174.88,193.72,173.63,191.73,1316169.92417571
2025-08-13,191.7,204.94,191.41,201.62,2179933.11168441
2025-08-14,201.6,210.0,186.81,192.61,2507705.38653289
2025-08-15,192.59,198.2,182.63,185.86,1275914.48863776
2025-08-16,185.83,190.15,185.31,189.72,511271.41737203
2025-08-17,189.72,195.91,187.47,191.15,874265.39534934
2025-08-18,191.13,191.45,180.05,183.02,1166561.29955659
2025-08-19,182.99,185.95,175.65,176.2,1090988.0519006
2025-08-20,176.2,188.05,176.03,187.96,1182232.18942947
2025-08-21,187.96,190.09,179.35,180.27,1259773.38327672
2025-08-22,180.26,202.34,177.24,200.62,1737981.80281641
2025-08-23,200.6,208.43,195.21,204.06,1398281.85699679
2025-08-24,204.07,211.98,201.02,205.98,2069269.61385279
2025-08-25,205.96,213.49,185.41,187.21,2732788.24498917
2025-08-26,187.21,198.1,185.61,195.87,1238426.00115457
2025-08-27,195.87,212.09,193.77,202.93,2640015.95868801
2025-08-28,202.94,216.88,201.65,214.43,2769100.5238099
2025-08-29,214.44,217.95,199.86,205.1,3176259.77251642
2025-08-30,205.1,207.04,197.57,202.74,885970.39936857
2025-08-31,202.74,206.67,200.29,200.63,848713.02912768
2025-09-01,200.62,204.57,194.2,197.32,1340108.4786392
2025-09-02,197.3,209.7,196.74,209.64,1815370.57688458
2025-09-03,209.63,213.0,207.43,210.83,1065590.53338226
2025-09-04,210.83,212.0,201.81,202.32,938533.9424299
2025-09-05,202.3,210.07,201.0,203.37,1203794.33764867
2025-09-06,203.37,204.66,199.34,200.18,588063.03258324
2025-09-07,200.19,207.95,200.13,206.34,836100.04911433
2025-09-08,206.33,217.17,205.56,214.15,2034372.61392318
2025-09-09,214.15,219.77,210.81,217.26,1431186.58014921
2025-09-10,217.23,225.96,215.09,224.14,1652644.68212576
2025-09-11,224.13,229.05,221.78,228.85,1225263.69879705
2025-09-12,228.83,244.31,228.21,242.36,2586907.73913052
2025-09-13,242.35,244.34,235.35,242.5,1410431.32082061
2025-09-14,242.5,250.0,239.25,239.86,1808965.06887483
2025-09-15,239.85,244.09,230.18,234.35,1823480.37673354
2025-09-16,234.33,241.0,231.34,237.01,1277889.07253145
2025-09-17,237.01,246.73,232.2,244.91,1571095.62549181
2025-09-18,244.92,246.16,244.21,245.14,42848.22273054
